"antiquewhite2"	"black"	"blue"	"blue4"	"blueviolet"	"brown"	"coral"	"coral3"	"cyan"	"darkgreen"	"darkgrey"	"darkmagenta"	"darkolivegreen"	"darkolivegreen2"	"darkorange"	"darkred"	"darkseagreen3"	"darkturquoise"	"deeppink"	"firebrick3"	"green"	"greenyellow"	"grey"	"grey60"	"honeydew"	"indianred3"	"lavenderblush2"	"lightblue4"	"lightcyan"	"lightcyan1"	"lightgreen"	"lightpink2"	"lightpink3"	"lightslateblue"	"lightsteelblue1"	"lightyellow"	"magenta"	"magenta3"	"magenta4"	"mediumpurple1"	"mediumpurple3"	"mediumpurple4"	"midnightblue"	"navajowhite"	"navajowhite1"	"orange"	"orangered1"	"orangered4"	"paleturquoise"	"palevioletred1"	"palevioletred2"	"pink"	"pink4"	"plum1"	"plum4"	"purple"	"red"	"royalblue"	"saddlebrown"	"salmon"	"salmon1"	"salmon2"	"sienna3"	"sienna4"	"skyblue"	"skyblue3"	"skyblue4"	"steelblue"	"tan"	"tan4"	"thistle"	"thistle3"	"thistle4"	"turquoise"	"violet"	"white"	"yellow"	"yellow3"	"yellowgreen"
"31"	55346	10109	65260	23288	285148	8028	3082	119504	319085	50804	8434	57614	120227	81502	4739	163051	10625	6601	7013	148741	163049	153642	7105	10395	56172	23704	84498	84078	4817	493856	124808	9905	25879	5891	254158	26084	9831	5793	983	3703	2263	57563	6496	3561	1009	6932	6533	55183	9765	55063	10103	9478	118788	49854	51592	84168	6448	441631	79140	10827	23523	8451	55317	23150	9730	84913	6886	57817	79177	80124	79890	56889	4258	84959	1995	56990	57018	400960	199675
"32"	79154	10139	8574	2962	91768	55041	84216	151613	29915	23078	10054	23413	129685	28952	9021	56605	84678	84288	53826	28974	203522	7074	284349	55623	5682	168374	5316	965	9712	4070	4249	5066	64132	64216	496	57585	5051	51131	10755	3087	8563	200424	9456	81614	100874032	931	25778	80267	84061	161823	56681	29091	23603	101929344	381	55151	9813	56888	55200	203447	4860	10480	84261	5469	4915	4154	258010	163071	103752589	83930	5291	138151	8837	147929	786	26999	101929272	9187	101928841
"33"	25891	5465	151534	25792	81846	4671	3184	800	55250	4338	63877	55095	54884	2937	440836	158431	5467	90957	6817	5257	387893	57182	83592	25843	199	2339	84233	100133941	51704	100129528	23567	5887	81605	7754	101929144	4076	146712	115209	9531	10294	6196	4973	931	57589	55278	23230	144811	4026	2677	5058	101928429	55958	3712	255022	27	56271	80264	650794	129293	11188	55178	55421	55658	55623	10424	115	4192	639	6711	50807	80301	2350	79896	51710	25803	3607	80169	1676	6760
"34"	6389	5150	29101	2592	79884	286826	54620	54841	1446	730101	85446	4170	128872	10618	23506	4850	8487	9208	118460	9802	4957	100133790	51439	9014	4087	51661	84274	55501	100505549	8913	54662	4487	55706	23062	4796	1452	221264	56946	254251	9975	10586	1509	23213	283897	2287	55103	9429	10276	23111	3257	26007	55727	1956	64081	9706	4673	51283	57486	54998	2039	57634	8773	55958	63897	55734	84640	1116	132	140732	58533	58472	6695	29088	55437	5462	9263	10221	10398	25789
"35"	3491	101927603	2920	54537	783	4076	490	5286	57549	149345	149478	6049	91851	2316	57571	134353	5198	11031	11334	9939	55844	4856	6888	5414	51097	25940	10988	11276	29761	51646	124637	6711	4716	8514	9940	57157	6205	83448	9470	5937	85379	91408	64841	101	81562	23231	1432	5922	22894	51147	64098	91775	8450	100505782	6138	80148	11140	6637	286046	81858	55201	55717	169044	463	7001	55303	5922	9550	84970	858	5306	4087	8804	28511	53345	63929	93035	9213	101928288
"36"	23580	3679	5603	29097	3073	79137	10768	51566	10659	7767	56946	29110	130399	140606	378	7592	6992	57826	9467	28958	65095	127733	140775	781	83877	23527	3964	2804	122553	84256	5777	10081	55680	4647	4849	84668	81688	54482	10278	833	221833	339448	11320	9898	84287	728264	139231	688	64089	64789	219931	132321	9446	10283	3292	51776	340542	57604	2159	253769	8881	115004	8120	29116	60678	5753	388698	7439	158381	115294	4354	51314	28957	64788	79857	3537	55592	27327	6518
"37"	55122	397	25937	133522	57466	28978	72	7586	8556	3976	3356	54778	1910	5905	26000	9563	5330	146923	55219	84364	146923	9774	91050	254048	440957	55904	1355	91574	54812	3070	54808	1992	8192	728294	1559	4087	26205	55194	6241	1915	50862	51263	80034	30009	5594	9709	11027	10765	85352	255231	10094	144577	6197	284306	8502	23198	4836	64844	6222	9328	694	5966	29781	1385	9295	7098	3949	22949	128861	81602	201931	130355	116228	27129	79955	2999	6742	85461	6397
"38"	8542	3275	5317	3732	55667	55016	26230	55250	93611	81603	84966	133418	7067	51504	6721	100289090	55173	7100	1889	5714	84456	147646	126668	11078	9588	55754	729967	64005	8498	54972	79902	1998	55311	23474	3546	23639	8848	125058	3838	120	143684	9555	10572	23200	641649	10838	6655	57150	7564	79027	55144	54210	85403	9411	25923	83696	5179	9204	51409	4919	64969	9648	200933	56919	124540	5062	28514	92482	26289	3725	1992	389114	10206	81556	89797	2247	5871	101927221	90417
"39"	6373	5660	9380	157	100134822	1977	54516	55119	140838	4850	9522	5108	3952	1155	66035	9941	10440	9444	6429	51024	100506311	128553	2124	22982	55179	57045	905	80895	22839	170371	81890	23683	84890	197370	80114	1457	54581	6232	57082	23433	541472	84230	9673	124460	6525	7466	5542	5650	55299	9694	124454	175	7918	8566	4801	55680	130367	728073	401207	5356	1729	2681	115196	202052	9575	55145	5874	4482	11123	64778	1977	341676	54502	728558	57216	79819	5771	59274	6788
"40"	3043	9590	51257	55361	2055	53340	8284	5810	84328	8994	488	10558	5346	6844	115708	202018	64417	389432	51095	4700	10802	3187	5089	1130	51371	11174	118788	255394	79705	84250	5339	6925	4091	113174	10763	54014	57615	9520	11124	83933	54842	26099	3916	221002	113000	7494	114827	23096	221477	28976	28985	55972	5230	4629	29780	2059	84804	1767	4731	26227	25926	56986	84570	220213	210	23306	100422737	10268	149086	6198	9034	146956	154141	3679	158405	11069	10694	3707	117584
